<antigua:FastEthernet0/1, guadeloupe:FastEthernet0/1>
<antigua:FastEthernet1/0, stkittsnevis:FastEthernet0/1>
<bahamas:FastEthernet0/1, nodeid45:FastEthernet0/1>
<bahamas:FastEthernet1/0, nodeid59:FastEthernet0/1>
<barbados:FastEthernet0/1, nodeid22:FastEthernet0/1>
<belize:FastEthernet0/1, mexico:FastEthernet0/1>
<belize:FastEthernet1/0, nodeid28:FastEthernet0/1>
<bonaire:FastEthernet0/1, curacao:FastEthernet0/1>
<caymanislands:FastEthernet0/1, nodeid46:FastEthernet0/1>
<columbia:FastEthernet0/1, nodeid1:FastEthernet0/1>
<columbia:FastEthernet1/0, nodeid38:FastEthernet0/1>
<costarica:FastEthernet0/1, nicaragua:FastEthernet0/1>
<costarica:FastEthernet1/0, nodeid9:FastEthernet0/1>
<costarica:FastEthernet1/1, panama:FastEthernet0/1>
<curacao:FastEthernet0/1, bonaire:FastEthernet0/1>
<curacao:FastEthernet1/0, puertorico:FastEthernet0/1>
<curacao:FastEthernet1/1, stvincent:FastEthernet0/1>
<curacao:FastEthernet2/0, venezuela:FastEthernet0/1>
<dominica:FastEthernet0/1, guadeloupe:FastEthernet1/0>
<dominica:FastEthernet1/0, martinique:FastEthernet0/1>
<dominica:FastEthernet1/1, stkittsnevis:FastEthernet1/0>
<dominicanrepublic:FastEthernet0/1, nodeid39:FastEthernet0/1>
<dominicanrepublic:FastEthernet1/0, nodeid56:FastEthernet0/1>
<dominicanrepublic:FastEthernet1/1, turksandcaicos:FastEthernet0/1>
<ecuador:FastEthernet0/1, nodeid37:FastEthernet0/1>
<elsalvador:FastEthernet0/1, nodeid63:FastEthernet0/1>
<grenada:FastEthernet0/1, nodeid24:FastEthernet0/1>
<grenada:FastEthernet1/0, trinidadandtobago:FastEthernet0/1>
<guadeloupe:FastEthernet0/1, antigua:FastEthernet0/1>
<guadeloupe:FastEthernet1/0, dominica:FastEthernet0/1>
<guatemala:FastEthernet0/1, nodeid28:FastEthernet1/0>
<guatemala:FastEthernet1/0, nodeid63:FastEthernet1/0>
<guyana:FastEthernet0/1, nodeid35:FastEthernet0/1>
<honduras:FastEthernet0/1, nodeid60:FastEthernet0/1>
<honduras:FastEthernet1/0, nodeid67:FastEthernet0/1>
<jamaica:FastEthernet0/1, nodeid39:FastEthernet1/0>
<jamaica:FastEthernet1/0, nodeid41:FastEthernet0/1>
<martinique:FastEthernet0/1, dominica:FastEthernet1/0>
<martinique:FastEthernet1/0, nodeid22:FastEthernet1/0>
<mexico:FastEthernet0/1, belize:FastEthernet0/1>
<mexico:FastEthernet1/0, nodeid15:FastEthernet0/1>
<nicaragua:FastEthernet0/1, costarica:FastEthernet0/1>
<nicaragua:FastEthernet1/0, nodeid69:FastEthernet0/1>
<nodeid0:FastEthernet0/1, nodeid1:FastEthernet1/0>
<nodeid0:FastEthernet1/0, nodeid27:FastEthernet0/1>
<nodeid1:FastEthernet0/1, columbia:FastEthernet0/1>
<nodeid1:FastEthernet1/0, nodeid0:FastEthernet0/1>
<nodeid1:FastEthernet1/1, nodeid34:FastEthernet0/1>
<nodeid1:FastEthernet2/0, nodeid37:FastEthernet1/0>
<nodeid1:FastEthernet2/1, nodeid7:FastEthernet0/1>
<nodeid13:FastEthernet0/1, nodeid14:FastEthernet0/1>
<nodeid13:FastEthernet1/0, nodeid29:FastEthernet0/1>
<nodeid13:FastEthernet1/1, nodeid31:FastEthernet0/1>
<nodeid14:FastEthernet0/1, nodeid13:FastEthernet0/1>
<nodeid15:FastEthernet0/1, mexico:FastEthernet1/0>
<nodeid15:FastEthernet1/0, nodeid26:FastEthernet0/1>
<nodeid17:FastEthernet0/1, nodeid58:FastEthernet0/1>
<nodeid17:FastEthernet1/0, turksandcaicos:FastEthernet1/0>
<nodeid22:FastEthernet0/1, barbados:FastEthernet0/1>
<nodeid22:FastEthernet1/0, martinique:FastEthernet1/0>
<nodeid22:FastEthernet1/1, nodeid24:FastEthernet1/0>
<nodeid22:FastEthernet2/0, stcroix:FastEthernet0/1>
<nodeid24:FastEthernet0/1, grenada:FastEthernet0/1>
<nodeid24:FastEthernet1/0, nodeid22:FastEthernet1/1>
<nodeid26:FastEthernet0/1, nodeid15:FastEthernet1/0>
<nodeid26:FastEthernet1/0, nodeid31:FastEthernet1/0>
<nodeid27:FastEthernet0/1, nodeid0:FastEthernet1/0>
<nodeid27:FastEthernet1/0, nodeid9:FastEthernet1/0>
<nodeid27:FastEthernet1/1, panama:FastEthernet1/0>
<nodeid28:FastEthernet0/1, belize:FastEthernet1/0>
<nodeid28:FastEthernet1/0, guatemala:FastEthernet0/1>
<nodeid28:FastEthernet1/1, nodeid67:FastEthernet1/0>
<nodeid29:FastEthernet0/1, nodeid13:FastEthernet1/0>
<nodeid29:FastEthernet1/0, nodeid46:FastEthernet1/0>
<nodeid29:FastEthernet1/1, nodeid67:FastEthernet1/1>
<nodeid31:FastEthernet0/1, nodeid13:FastEthernet1/1>
<nodeid31:FastEthernet1/0, nodeid26:FastEthernet1/0>
<nodeid31:FastEthernet1/1, nodeid44:FastEthernet0/1>
<nodeid31:FastEthernet2/0, nodeid49:FastEthernet0/1>
<nodeid32:FastEthernet0/1, nodeid44:FastEthernet1/0>
<nodeid32:FastEthernet1/0, nodeid59:FastEthernet1/0>
<nodeid33:FastEthernet0/1, nodeid45:FastEthernet1/0>
<nodeid33:FastEthernet1/0, nodeid49:FastEthernet1/0>
<nodeid33:FastEthernet1/1, usa:FastEthernet0/1>
<nodeid34:FastEthernet0/1, nodeid1:FastEthernet1/1>
<nodeid34:FastEthernet1/0, panama:FastEthernet1/1>
<nodeid35:FastEthernet0/1, guyana:FastEthernet0/1>
<nodeid35:FastEthernet1/0, suriname:FastEthernet0/1>
<nodeid35:FastEthernet1/1, trinidadandtobago:FastEthernet1/0>
<nodeid37:FastEthernet0/1, ecuador:FastEthernet0/1>
<nodeid37:FastEthernet1/0, nodeid1:FastEthernet2/0>
<nodeid38:FastEthernet0/1, columbia:FastEthernet1/0>
<nodeid38:FastEthernet1/0, nodeid41:FastEthernet1/0>
<nodeid38:FastEthernet1/1, usa:FastEthernet1/0>
<nodeid39:FastEthernet0/1, dominicanrepublic:FastEthernet0/1>
<nodeid39:FastEthernet1/0, jamaica:FastEthernet0/1>
<nodeid41:FastEthernet0/1, jamaica:FastEthernet1/0>
<nodeid41:FastEthernet1/0, nodeid38:FastEthernet1/0>
<nodeid44:FastEthernet0/1, nodeid31:FastEthernet1/1>
<nodeid44:FastEthernet1/0, nodeid32:FastEthernet0/1>
<nodeid44:FastEthernet1/1, nodeid45:FastEthernet1/1>
<nodeid44:FastEthernet2/0, nodeid59:FastEthernet1/1>
<nodeid45:FastEthernet0/1, bahamas:FastEthernet0/1>
<nodeid45:FastEthernet1/0, nodeid33:FastEthernet0/1>
<nodeid45:FastEthernet1/1, nodeid44:FastEthernet1/1>
<nodeid45:FastEthernet2/0, nodeid49:FastEthernet1/1>
<nodeid46:FastEthernet0/1, caymanislands:FastEthernet0/1>
<nodeid46:FastEthernet1/0, nodeid29:FastEthernet1/0>
<nodeid46:FastEthernet1/1, nodeid9:FastEthernet1/1>
<nodeid49:FastEthernet0/1, nodeid31:FastEthernet2/0>
<nodeid49:FastEthernet1/0, nodeid33:FastEthernet1/0>
<nodeid49:FastEthernet1/1, nodeid45:FastEthernet2/0>
<nodeid50:FastEthernet0/1, nodeid8:FastEthernet0/1>
<nodeid50:FastEthernet1/0, puertorico:FastEthernet1/0>
<nodeid50:FastEthernet1/1, stcroix:FastEthernet1/0>
<nodeid56:FastEthernet0/1, dominicanrepublic:FastEthernet1/0>
<nodeid56:FastEthernet1/0, puertorico:FastEthernet1/1>
<nodeid58:FastEthernet0/1, nodeid17:FastEthernet0/1>
<nodeid58:FastEthernet1/0, nodeid59:FastEthernet2/0>
<nodeid59:FastEthernet0/1, bahamas:FastEthernet1/0>
<nodeid59:FastEthernet1/0, nodeid32:FastEthernet1/0>
<nodeid59:FastEthernet1/1, nodeid44:FastEthernet2/0>
<nodeid59:FastEthernet2/0, nodeid58:FastEthernet1/0>
<nodeid60:FastEthernet0/1, honduras:FastEthernet0/1>
<nodeid60:FastEthernet1/0, nodeid69:FastEthernet1/0>
<nodeid62:FastEthernet0/1, nodeid63:FastEthernet1/1>
<nodeid63:FastEthernet0/1, elsalvador:FastEthernet0/1>
<nodeid63:FastEthernet1/0, guatemala:FastEthernet1/0>
