<abbeville:FastEthernet0/1, chester:FastEthernet0/1>
<abbeville:FastEthernet1/0, greenwood:FastEthernet0/1>
<abbeville:FastEthernet1/1, hickorytavern:FastEthernet0/1>
<abingdon:FastEthernet0/1, bristol:FastEthernet0/1>
<abingdon:FastEthernet1/0, marion:FastEthernet0/1>
<adel:FastEthernet0/1, tifton:FastEthernet0/1>
<adel:FastEthernet1/0, vadosta:FastEthernet0/1>
<aiken:FastEthernet0/1, augusta:FastEthernet0/1>
<aiken:FastEthernet1/0, columbia:FastEthernet0/1>
<albany:FastEthernet0/1, macon:FastEthernet0/1>
<albany:FastEthernet1/0, tallahassee:FastEthernet0/1>
<anderson:FastEthernet0/1, clemson:FastEthernet0/1>
<andrews:FastEthernet0/1, brysoncity:FastEthernet0/1>
<andrews:FastEthernet1/0, hayesville:FastEthernet0/1>
<andrews:FastEthernet1/1, murphy:FastEthernet0/1>
<ashburn:FastEthernet0/1, herndon:FastEthernet0/1>
<ashburn:FastEthernet1/0, warrenton:FastEthernet0/1>
<asheville:FastEthernet0/1, greenville:FastEthernet0/1>
<asheville:FastEthernet1/0, hickory:FastEthernet0/1>
<ashland:FastEthernet0/1, huntington:FastEthernet0/1>
<athens:FastEthernet0/1, atlanta:FastEthernet0/1>
<athens:FastEthernet1/0, hartwell:FastEthernet0/1>
<atlanta:FastEthernet0/1, athens:FastEthernet0/1>
<atlanta:FastEthernet1/0, birmingham:FastEthernet0/1>
<atlanta:FastEthernet1/1, canton:FastEthernet0/1>
<atlanta:FastEthernet2/0, columbus:FastEthernet0/1>
<atlanta:FastEthernet2/1, macon:FastEthernet1/0>
<atlanta:FastEthernet3/0, maretta:FastEthernet0/1>
<augusta:FastEthernet0/1, aiken:FastEthernet0/1>
<augusta:FastEthernet1/0, columbia:FastEthernet1/0>
<augusta:FastEthernet1/1, hartwell:FastEthernet1/0>
<augusta:FastEthernet2/0, nodeid86:FastEthernet0/1>
<avonpark:FastEthernet0/1, fortmyers:FastEthernet0/1>
<avonpark:FastEthernet1/0, winterpark:FastEthernet0/1>
<baldwin:FastEthernet0/1, boone:FastEthernet0/1>
<baldwin:FastEthernet1/0, sparta:FastEthernet0/1>
<beaufort:FastEthernet0/1, hiltonhead:FastEthernet0/1>
<beaufort:FastEthernet1/0, yemassee:FastEthernet0/1>
<bethune:FastEthernet0/1, florence:FastEthernet0/1>
<bethune:FastEthernet1/0, kershaw:FastEthernet0/1>
<birmingham:FastEthernet0/1, atlanta:FastEthernet1/0>
<birmingham:FastEthernet1/0, montgomery:FastEthernet0/1>
<blacksburg:FastEthernet0/1, christiansburg:FastEthernet0/1>
<blacksburg:FastEthernet1/0, troutville:FastEthernet0/1>
<blairsville:FastEthernet0/1, blueridge:FastEthernet0/1>
<blairsville:FastEthernet1/0, youngharris:FastEthernet0/1>
<bland:FastEthernet0/1, bluefield:FastEthernet0/1>
<bland:FastEthernet1/0, wytheville:FastEthernet0/1>
<blitchton:FastEthernet0/1, pembroke:FastEthernet0/1>
<blitchton:FastEthernet1/0, savannah:FastEthernet0/1>
<blountstown:FastEthernet0/1, panamacity:FastEthernet0/1>
<blountstown:FastEthernet1/0, tallahassee:FastEthernet1/0>
<bluefield:FastEthernet0/1, bland:FastEthernet0/1>
<blueridge:FastEthernet0/1, blairsville:FastEthernet0/1>
<blueridge:FastEthernet1/0, copperhill:FastEthernet0/1>
<blueridge:FastEthernet1/1, ellijay:FastEthernet0/1>
<boone:FastEthernet0/1, baldwin:FastEthernet0/1>
<boone:FastEthernet1/0, lexingtonid33:FastEthernet0/1>
<bristol:FastEthernet0/1, abingdon:FastEthernet0/1>
<bristol:FastEthernet1/0, johnsoncity:FastEthernet0/1>
<bristol:FastEthernet1/1, kingsport:FastEthernet0/1>
<brysoncity:FastEthernet0/1, andrews:FastEthernet0/1>
<brysoncity:FastEthernet1/0, cherokee:FastEthernet0/1>
<burlington:FastEthernet0/1, durham:FastEthernet0/1>
<burlington:FastEthernet1/0, greensboro:FastEthernet0/1>
<calhoun:FastEthernet0/1, cartersville:FastEthernet0/1>
<canton:FastEthernet0/1, atlanta:FastEthernet1/1>
<canton:FastEthernet1/0, ellijay:FastEthernet1/0>
<carlisle:FastEthernet0/1, gettysburg:FastEthernet0/1>
<cartersville:FastEthernet0/1, calhoun:FastEthernet0/1>
<cartersville:FastEthernet1/0, maretta:FastEthernet1/0>
<chamersburg:FastEthernet0/1, gettysburg:FastEthernet1/0>
<chamersburg:FastEthernet1/0, hagerstown:FastEthernet0/1>
<charleston:FastEthernet0/1, huntington:FastEthernet1/0>
<charleston:FastEthernet1/0, roanoke:FastEthernet0/1>
<charlestonid102:FastEthernet0/1, monkscorner:FastEthernet0/1>
<charlestonid102:FastEthernet1/0, yemassee:FastEthernet1/0>
<charlotte:FastEthernet0/1, concord:FastEthernet0/1>
<charlotte:FastEthernet1/0, rockhill:FastEthernet0/1>
<charlotte:FastEthernet1/1, spartanburg:FastEthernet0/1>
<charlottesville:FastEthernet0/1, lynchburg:FastEthernet0/1>
<charlottesville:FastEthernet1/0, waynesboro:FastEthernet0/1>
<chattanooga:FastEthernet0/1, dalton:FastEthernet0/1>
<chattanooga:FastEthernet1/0, ringgold:FastEthernet0/1>
<cherokee:FastEthernet0/1, brysoncity:FastEthernet1/0>
<cherokee:FastEthernet1/0, sylva:FastEthernet0/1>
<chester:FastEthernet0/1, abbeville:FastEthernet0/1>
<chester:FastEthernet1/0, columbia:FastEthernet1/1>
<chester:FastEthernet1/1, rockhill:FastEthernet1/0>
<christiansburg:FastEthernet0/1, blacksburg:FastEthernet0/1>
<christiansburg:FastEthernet1/0, radford:FastEthernet0/1>
<clemson:FastEthernet0/1, anderson:FastEthernet0/1>
<clemson:FastEthernet1/0, greenville:FastEthernet1/0>
<clemson:FastEthernet1/1, hickorytavern:FastEthernet1/0>
<clemson:FastEthernet2/0, toccoa:FastEthernet0/1>
<columbia:FastEthernet0/1, aiken:FastEthernet1/0>
<columbia:FastEthernet1/0, augusta:FastEthernet1/0>
<columbia:FastEthernet1/1, chester:FastEthernet1/0>
<columbia:FastEthernet2/0, nodeid85:FastEthernet0/1>
<columbia:FastEthernet2/1, sumter:FastEthernet0/1>
<columbus:FastEthernet0/1, atlanta:FastEthernet2/0>
<columbus:FastEthernet1/0, montgomery:FastEthernet1/0>
<concord:FastEthernet0/1, charlotte:FastEthernet0/1>
<concord:FastEthernet1/0, salisbury:FastEthernet0/1>
<copperhill:FastEthernet0/1, blueridge:FastEthernet1/0>
<copperhill:FastEthernet1/0, murphy:FastEthernet1/0>
<courtney:FastEthernet0/1, levelcross:FastEthernet0/1>
<courtney:FastEthernet1/0, lexingtonid33:FastEthernet1/0>
<crestview:FastEthernet0/1, panamacity:FastEthernet1/0>
<crestview:FastEthernet1/0, pensacola:FastEthernet0/1>
<dalton:FastEthernet0/1, chattanooga:FastEthernet0/1>
<dalton:FastEthernet1/0, ellijay:FastEthernet1/1>
<dalton:FastEthernet1/1, ringgold:FastEthernet1/0>
<danville:FastEthernet0/1, greensboro:FastEthernet1/0>
<danville:FastEthernet1/0, lynchburg:FastEthernet1/0>
<danville:FastEthernet1/1, martinsville:FastEthernet0/1>
<darien:FastEthernet0/1, hinesville:FastEthernet0/1>
<darien:FastEthernet1/0, nahunta:FastEthernet0/1>
<dothan:FastEthernet0/1, montgomery:FastEthernet1/1>
<dothan:FastEthernet1/0, panamacity:FastEthernet1/1>
<douglas:FastEthernet0/1, waycross:FastEthernet0/1>
<douglas:FastEthernet1/0, willacoochee:FastEthernet0/1>
<durham:FastEthernet0/1, burlington:FastEthernet0/1>
<durham:FastEthernet1/0, raleigh:FastEthernet0/1>
<easley:FastEthernet0/1, greenville:FastEthernet1/1>
<easley:FastEthernet1/0, toccoa:FastEthernet1/0>
<edinburg:FastEthernet0/1, nodeid78:FastEthernet0/1>
<edinburg:FastEthernet1/0, nodeid79:FastEthernet0/1>
<ellijay:FastEthernet0/1, blueridge:FastEthernet1/1>
<ellijay:FastEthernet1/0, canton:FastEthernet1/0>
<ellijay:FastEthernet1/1, dalton:FastEthernet1/0>
<fayetteville:FastEthernet0/1, jacksonville:FastEthernet0/1>
<fayetteville:FastEthernet1/0, raleigh:FastEthernet1/0>
<fayetteville:FastEthernet1/1, rockymountid11:FastEthernet0/1>
<fayetteville:FastEthernet2/0, tarheel:FastEthernet0/1>
<fayetteville:FastEthernet2/1, wilmington:FastEthernet0/1>
<florence:FastEthernet0/1, bethune:FastEthernet0/1>
<florence:FastEthernet1/0, myrtlebeach:FastEthernet0/1>
<florence:FastEthernet1/1, sumter:FastEthernet1/0>
<florence:FastEthernet2/0, tarheel:FastEthernet1/0>
<fortmyers:FastEthernet0/1, avonpark:FastEthernet0/1>
<franklin:FastEthernet0/1, hiawassee:FastEthernet0/1>
<franklin:FastEthernet1/0, sylva:FastEthernet1/0>
<frontroyal:FastEthernet0/1, nodeid79:FastEthernet1/0>
<frontroyal:FastEthernet1/0, warrenton:FastEthernet1/0>
<georgetown:FastEthernet0/1, myrtlebeach:FastEthernet1/0>
<georgetown:FastEthernet1/0, nodeid82:FastEthernet0/1>
<gettysburg:FastEthernet0/1, carlisle:FastEthernet0/1>
<gettysburg:FastEthernet1/0, chamersburg:FastEthernet0/1>
<greensboro:FastEthernet0/1, burlington:FastEthernet1/0>
<greensboro:FastEthernet1/0, danville:FastEthernet0/1>
<greensboro:FastEthernet1/1, nodeid84:FastEthernet0/1>
<greenville:FastEthernet0/1, asheville:FastEthernet0/1>
<greenville:FastEthernet1/0, clemson:FastEthernet1/0>
<greenville:FastEthernet1/1, easley:FastEthernet0/1>
<greenville:FastEthernet2/0, spartanburg:FastEthernet1/0>
<greenvilleid16:FastEthernet0/1, kinston:FastEthernet0/1>
<greenvilleid16:FastEthernet1/0, rockymountid11:FastEthernet1/0>
<greenwood:FastEthernet0/1, abbeville:FastEthernet1/0>
<hagerstown:FastEthernet0/1, chamersburg:FastEthernet1/0>
<hagerstown:FastEthernet1/0, martinsburg:FastEthernet0/1>
<harrisonburg:FastEthernet0/1, nodeid78:FastEthernet1/0>
<harrisonburg:FastEthernet1/0, staunton:FastEthernet0/1>
<harrisonburg:FastEthernet1/1, waynesboro:FastEthernet1/0>
<hartwell:FastEthernet0/1, athens:FastEthernet1/0>
<hartwell:FastEthernet1/0, augusta:FastEthernet1/1>
<hawkinsville:FastEthernet0/1, leslie:FastEthernet0/1>
<hawkinsville:FastEthernet1/0, rentz:FastEthernet0/1>
<hawkinsville:FastEthernet1/1, warwick:FastEthernet0/1>
<hayesville:FastEthernet0/1, andrews:FastEthernet1/0>
<hayesville:FastEthernet1/0, youngharris:FastEthernet1/0>
<herndon:FastEthernet0/1, ashburn:FastEthernet0/1>
<herndon:FastEthernet1/0, leesburg:FastEthernet0/1>
<hiawassee:FastEthernet0/1, franklin:FastEthernet0/1>
<hiawassee:FastEthernet1/0, youngharris:FastEthernet1/1>
<hickory:FastEthernet0/1, asheville:FastEthernet1/0>
<hickory:FastEthernet1/0, spartanburg:FastEthernet1/1>
<hickorytavern:FastEthernet0/1, abbeville:FastEthernet1/1>
<hickorytavern:FastEthernet1/0, clemson:FastEthernet1/1>
<highpoint:FastEthernet0/1, kernersville:FastEthernet0/1>
<highpoint:FastEthernet1/0, lexingtonid33:FastEthernet1/1>
<highpoint:FastEthernet1/1, nodeid84:FastEthernet1/0>
<hiltonhead:FastEthernet0/1, beaufort:FastEthernet0/1>
<hiltonhead:FastEthernet1/0, nodeid86:FastEthernet1/0>
<hinesville:FastEthernet0/1, darien:FastEthernet0/1>
<hinesville:FastEthernet1/0, savannah:FastEthernet1/0>
<huntington:FastEthernet0/1, ashland:FastEthernet0/1>
<huntington:FastEthernet1/0, charleston:FastEthernet0/1>
<jacksonville:FastEthernet0/1, fayetteville:FastEthernet0/1>
<jacksonville:FastEthernet1/0, newbern:FastEthernet0/1>
<jacksonvilleid5:FastEthernet0/1, lakecity:FastEthernet0/1>
<jacksonvilleid5:FastEthernet1/0, nahunta:FastEthernet1/0>
<johnsoncity:FastEthernet0/1, bristol:FastEthernet1/0>
<johnsoncity:FastEthernet1/0, kingsport:FastEthernet1/0>
<kernersville:FastEthernet0/1, highpoint:FastEthernet0/1>
<kernersville:FastEthernet1/0, nodeid84:FastEthernet1/1>
<kershaw:FastEthernet0/1, bethune:FastEthernet1/0>
<kershaw:FastEthernet1/0, lancaster:FastEthernet0/1>
<kingsport:FastEthernet0/1, bristol:FastEthernet1/1>
<kingsport:FastEthernet1/0, johnsoncity:FastEthernet1/0>
<kinston:FastEthernet0/1, greenvilleid16:FastEthernet0/1>
<kinston:FastEthernet1/0, newbern:FastEthernet1/0>
<lakecity:FastEthernet0/1, jacksonvilleid5:FastEthernet0/1>
<lakecity:FastEthernet1/0, tallahassee:FastEthernet1/1>
<lancaster:FastEthernet0/1, kershaw:FastEthernet1/0>
<lancaster:FastEthernet1/0, rockhill:FastEthernet1/1>
<leesburg:FastEthernet0/1, herndon:FastEthernet1/0>
<leesburg:FastEthernet1/0, winchester:FastEthernet0/1>
<leesburgid143:FastEthernet0/1, maitland:FastEthernet0/1>
<leesburgid143:FastEthernet1/0, ocala:FastEthernet0/1>
<leslie:FastEthernet0/1, hawkinsville:FastEthernet0/1>
<leslie:FastEthernet1/0, macon:FastEthernet1/1>
<levelcross:FastEthernet0/1, courtney:FastEthernet0/1>
<levelcross:FastEthernet1/0, sparta:FastEthernet1/0>
<lexington:FastEthernet0/1, troutville:FastEthernet1/0>
<lexington:FastEthernet1/0, waynesboro:FastEthernet1/1>
<lexingtonid33:FastEthernet0/1, boone:FastEthernet1/0>
<lexingtonid33:FastEthernet1/0, courtney:FastEthernet1/0>
<lexingtonid33:FastEthernet1/1, highpoint:FastEthernet1/0>
<lexingtonid33:FastEthernet2/0, salisbury:FastEthernet1/0>
<lynchburg:FastEthernet0/1, charlottesville:FastEthernet0/1>
<lynchburg:FastEthernet1/0, danville:FastEthernet1/0>
<lynchburg:FastEthernet1/1, roanoke:FastEthernet1/0>
<macon:FastEthernet0/1, albany:FastEthernet0/1>
<macon:FastEthernet1/0, atlanta:FastEthernet2/1>
<macon:FastEthernet1/1, leslie:FastEthernet1/0>
<maitland:FastEthernet0/1, leesburgid143:FastEthernet0/1>
<maitland:FastEthernet1/0, winterpark:FastEthernet1/0>
<maretta:FastEthernet0/1, atlanta:FastEthernet3/0>
<maretta:FastEthernet1/0, cartersville:FastEthernet1/0>
<marion:FastEthernet0/1, abingdon:FastEthernet1/0>
<marion:FastEthernet1/0, wytheville:FastEthernet1/0>
<martinsburg:FastEthernet0/1, hagerstown:FastEthernet1/0>
<martinsburg:FastEthernet1/0, stephenscity:FastEthernet0/1>
<martinsville:FastEthernet0/1, danville:FastEthernet1/1>
<martinsville:FastEthernet1/0, rockymount:FastEthernet0/1>
<metter:FastEthernet0/1, pembroke:FastEthernet1/0>
<metter:FastEthernet1/0, rentz:FastEthernet1/0>
<mobile:FastEthernet0/1, montgomery:FastEthernet2/0>
<mobile:FastEthernet1/0, pensacola:FastEthernet1/0>
<monkscorner:FastEthernet0/1, charlestonid102:FastEthernet0/1>
<monkscorner:FastEthernet1/0, nodeid82:FastEthernet1/0>
<montgomery:FastEthernet0/1, birmingham:FastEthernet1/0>
<montgomery:FastEthernet1/0, columbus:FastEthernet1/0>
<montgomery:FastEthernet1/1, dothan:FastEthernet0/1>
<montgomery:FastEthernet2/0, mobile:FastEthernet0/1>
<murphy:FastEthernet0/1, andrews:FastEthernet1/1>
<murphy:FastEthernet1/0, copperhill:FastEthernet1/0>
<myrtlebeach:FastEthernet0/1, florence:FastEthernet1/0>
<myrtlebeach:FastEthernet1/0, georgetown:FastEthernet0/1>
<myrtlebeach:FastEthernet1/1, wilmington:FastEthernet1/0>
<nahunta:FastEthernet0/1, darien:FastEthernet1/0>
<nahunta:FastEthernet1/0, jacksonvilleid5:FastEthernet1/0>
<nahunta:FastEthernet1/1, waycross:FastEthernet1/0>
<newbern:FastEthernet0/1, jacksonville:FastEthernet1/0>
<newbern:FastEthernet1/0, kinston:FastEthernet1/0>
<nodeid78:FastEthernet0/1, edinburg:FastEthernet0/1>
<nodeid78:FastEthernet1/0, harrisonburg:FastEthernet0/1>
<nodeid78:FastEthernet1/1, winchester:FastEthernet1/0>
<nodeid79:FastEthernet0/1, edinburg:FastEthernet1/0>
<nodeid79:FastEthernet1/0, frontroyal:FastEthernet0/1>
<nodeid79:FastEthernet1/1, stephenscity:FastEthernet1/0>
<nodeid82:FastEthernet0/1, georgetown:FastEthernet1/0>
<nodeid82:FastEthernet1/0, monkscorner:FastEthernet1/0>
<nodeid82:FastEthernet1/1, sumter:FastEthernet1/1>
<nodeid84:FastEthernet0/1, greensboro:FastEthernet1/1>
<nodeid84:FastEthernet1/0, highpoint:FastEthernet1/1>
<nodeid84:FastEthernet1/1, kernersville:FastEthernet1/0>
<nodeid85:FastEthernet0/1, columbia:FastEthernet2/0>
<nodeid85:FastEthernet1/0, orangeburg:FastEthernet0/1>
<nodeid85:FastEthernet1/1, walterboro:FastEthernet0/1>
<nodeid86:FastEthernet0/1, augusta:FastEthernet2/0>
<nodeid86:FastEthernet1/0, hiltonhead:FastEthernet1/0>
<nodeid86:FastEthernet1/1, savannah:FastEthernet1/1>
<ocala:FastEthernet0/1, leesburgid143:FastEthernet1/0>
<ocala:FastEthernet1/0, tallahassee:FastEthernet2/0>
<omega:FastEthernet0/1, tifton:FastEthernet1/0>
<omega:FastEthernet1/0, vadosta:FastEthernet1/0>
<omega:FastEthernet1/1, warwick:FastEthernet1/0>
<omega:FastEthernet2/0, willacoochee:FastEthernet1/0>
<orangeburg:FastEthernet0/1, nodeid85:FastEthernet1/0>
<panamacity:FastEthernet0/1, blountstown:FastEthernet0/1>
<panamacity:FastEthernet1/0, crestview:FastEthernet0/1>
<panamacity:FastEthernet1/1, dothan:FastEthernet1/0>
<pembroke:FastEthernet0/1, blitchton:FastEthernet0/1>
<pembroke:FastEthernet1/0, metter:FastEthernet0/1>
<pensacola:FastEthernet0/1, crestview:FastEthernet1/0>
<pensacola:FastEthernet1/0, mobile:FastEthernet1/0>
<radford:FastEthernet0/1, christiansburg:FastEthernet1/0>
<radford:FastEthernet1/0, wytheville:FastEthernet1/1>
<raleigh:FastEthernet0/1, durham:FastEthernet1/0>
<raleigh:FastEthernet1/0, fayetteville:FastEthernet1/0>
<raleigh:FastEthernet1/1, rockymountid11:FastEthernet1/1>
<rentz:FastEthernet0/1, hawkinsville:FastEthernet1/0>
<rentz:FastEthernet1/0, metter:FastEthernet1/0>
<ringgold:FastEthernet0/1, chattanooga:FastEthernet1/0>
<ringgold:FastEthernet1/0, dalton:FastEthernet1/1>
<roanoke:FastEthernet0/1, charleston:FastEthernet1/0>
<roanoke:FastEthernet1/0, lynchburg:FastEthernet1/1>
<roanoke:FastEthernet1/1, rockymount:FastEthernet1/0>
<roanoke:FastEthernet2/0, troutville:FastEthernet1/1>
<rockhill:FastEthernet0/1, charlotte:FastEthernet1/0>
<rockhill:FastEthernet1/0, chester:FastEthernet1/1>
<rockhill:FastEthernet1/1, lancaster:FastEthernet1/0>
<rockymount:FastEthernet0/1, martinsville:FastEthernet1/0>
<rockymount:FastEthernet1/0, roanoke:FastEthernet1/1>
<rockymountid11:FastEthernet0/1, fayetteville:FastEthernet1/1>
<rockymountid11:FastEthernet1/0, greenvilleid16:FastEthernet1/0>
<rockymountid11:FastEthernet1/1, raleigh:FastEthernet1/1>
<salisbury:FastEthernet0/1, concord:FastEthernet1/0>
<salisbury:FastEthernet1/0, lexingtonid33:FastEthernet2/0>
<savannah:FastEthernet0/1, blitchton:FastEthernet1/0>
<savannah:FastEthernet1/0, hinesville:FastEthernet1/0>
<savannah:FastEthernet1/1, nodeid86:FastEthernet1/1>
<savannah:FastEthernet2/0, yemassee:FastEthernet1/1>
<sparta:FastEthernet0/1, baldwin:FastEthernet1/0>
<sparta:FastEthernet1/0, levelcross:FastEthernet1/0>
<sparta:FastEthernet1/1, wytheville:FastEthernet2/0>
<spartanburg:FastEthernet0/1, charlotte:FastEthernet1/1>
<spartanburg:FastEthernet1/0, greenville:FastEthernet2/0>
<spartanburg:FastEthernet1/1, hickory:FastEthernet1/0>
<staunton:FastEthernet0/1, harrisonburg:FastEthernet1/0>
<staunton:FastEthernet1/0, troutville:FastEthernet2/0>
<staunton:FastEthernet1/1, waynesboro:FastEthernet2/0>
<stephenscity:FastEthernet0/1, martinsburg:FastEthernet1/0>
<stephenscity:FastEthernet1/0, nodeid79:FastEthernet1/1>
<sumter:FastEthernet0/1, columbia:FastEthernet2/1>
<sumter:FastEthernet1/0, florence:FastEthernet1/1>
<sumter:FastEthernet1/1, nodeid82:FastEthernet1/1>
<sylva:FastEthernet0/1, cherokee:FastEthernet1/0>
<sylva:FastEthernet1/0, franklin:FastEthernet1/0>
<tallahassee:FastEthernet0/1, albany:FastEthernet1/0>
<tallahassee:FastEthernet1/0, blountstown:FastEthernet1/0>
<tallahassee:FastEthernet1/1, lakecity:FastEthernet1/0>
<tallahassee:FastEthernet2/0, ocala:FastEthernet1/0>
<tarheel:FastEthernet0/1, fayetteville:FastEthernet2/0>
<tarheel:FastEthernet1/0, florence:FastEthernet2/0>
<tifton:FastEthernet0/1, adel:FastEthernet0/1>
<tifton:FastEthernet1/0, omega:FastEthernet0/1>
<toccoa:FastEthernet0/1, clemson:FastEthernet2/0>
<toccoa:FastEthernet1/0, easley:FastEthernet1/0>
<troutville:FastEthernet0/1, blacksburg:FastEthernet1/0>
<troutville:FastEthernet1/0, lexington:FastEthernet0/1>
<troutville:FastEthernet1/1, roanoke:FastEthernet2/0>
<troutville:FastEthernet2/0, staunton:FastEthernet1/0>
<vadosta:FastEthernet0/1, adel:FastEthernet1/0>
<vadosta:FastEthernet1/0, omega:FastEthernet1/0>
<walterboro:FastEthernet0/1, nodeid85:FastEthernet1/1>
<walterboro:FastEthernet1/0, yemassee:FastEthernet2/0>
<warrenton:FastEthernet0/1, ashburn:FastEthernet1/0>
<warrenton:FastEthernet1/0, frontroyal:FastEthernet1/0>
<warwick:FastEthernet0/1, hawkinsville:FastEthernet1/1>
<warwick:FastEthernet1/0, omega:FastEthernet1/1>
<waycross:FastEthernet0/1, douglas:FastEthernet0/1>
<waycross:FastEthernet1/0, nahunta:FastEthernet1/1>
<waynesboro:FastEthernet0/1, charlottesville:FastEthernet1/0>
<waynesboro:FastEthernet1/0, harrisonburg:FastEthernet1/1>
<waynesboro:FastEthernet1/1, lexington:FastEthernet1/0>
<waynesboro:FastEthernet2/0, staunton:FastEthernet1/1>
<willacoochee:FastEthernet0/1, douglas:FastEthernet1/0>
<willacoochee:FastEthernet1/0, omega:FastEthernet2/0>
<wilmington:FastEthernet0/1, fayetteville:FastEthernet2/1>
<wilmington:FastEthernet1/0, myrtlebeach:FastEthernet1/1>
<winchester:FastEthernet0/1, leesburg:FastEthernet1/0>
<winchester:FastEthernet1/0, nodeid78:FastEthernet1/1>
<winterpark:FastEthernet0/1, avonpark:FastEthernet1/0>
<winterpark:FastEthernet1/0, maitland:FastEthernet1/0>
<wytheville:FastEthernet0/1, bland:FastEthernet1/0>
<wytheville:FastEthernet1/0, marion:FastEthernet1/0>
<wytheville:FastEthernet1/1, radford:FastEthernet1/0>
<wytheville:FastEthernet2/0, sparta:FastEthernet1/1>
<yemassee:FastEthernet0/1, beaufort:FastEthernet1/0>
<yemassee:FastEthernet1/0, charlestonid102:FastEthernet1/0>
<yemassee:FastEthernet1/1, savannah:FastEthernet2/0>
<yemassee:FastEthernet2/0, walterboro:FastEthernet1/0>
<youngharris:FastEthernet0/1, blairsville:FastEthernet1/0>
<youngharris:FastEthernet1/0, hayesville:FastEthernet1/0>
<youngharris:FastEthernet1/1, hiawassee:FastEthernet1/0>
